Team 1,Team 2,Winner,Margin
CSK,KKR,CSK,27 runs
DC,KKR,KKR,3 wickets
RCB,KKR,KKR,4 wickets
DC,CSK,CSK,4 wickets
RCB,DC,RCB,7 wickets
SRH,MI,MI,42 runs
KKR,RR,KKR,86 runs
CSK,Punjab Kings,Punjab Kings,6 wickets
RCB,SRH,SRH,4 runs
RR,MI,MI,8 wickets
DC,CSK,DC,3 wickets
KKR,SRH,KKR,6 wickets
RCB,Punjab Kings,RCB,6 runs
RR,CSK,RR,7 wickets
MI,DC,DC,4 wickets
KKR,Punjab Kings,Punjab Kings,5 wickets
SRH,CSK,CSK,6 wickets
RR,RCB,RCB,7 wickets
MI,Punjab Kings,MI,6 wickets
KKR,DC,KKR,3 wickets
SRH,RR,SRH,7 wickets
RCB,MI,RCB,54 runs
CSK,KKR,CSK,2 wickets
SRH,Punjab Kings,Punjab Kings,5 runs
DC,RR,DC,33 runs
RCB,CSK,CSK,6 wickets
MI,KKR,KKR,7 wickets
DC,SRH,DC,8 wickets
Punjab Kings,RR,RR,2 runs
KKR,RCB,KKR,9 wickets
CSK,MI,CSK,20 runs
Punjab Kings,DC,DC,7 wickets
RR,SRH,RR,55 runs
MI,CSK,MI,4 wickets
Punjab Kings,RCB,Punjab Kings,34 runs
DC,KKR,DC,7 wickets
MI,RR,MI,7 wickets
CSK,SRH,CSK,7 wickets
DC,RCB,RCB,1 run
Punjab Kings,KKR,KKR,5 wickets
SRH,DC,tied,-
CSK,RCB,CSK,69 runs
RR,KKR,RR,6 wickets
Punjab Kings,MI,Punjab Kings,9 wickets
RCB,RR,RCB,10 wickets
KKR,CSK,CSK,18 runs
Punjab Kings,SRH,SRH,9 wickets
DC,MI,DC,6 wickets
CSK,RR,CSK,45 runs
DC,Punjab Kings,DC,6 wickets
RCB,KKR,RCB,38 runs
MI,SRH,MI,13 runs
Punjab Kings,CSK,CSK,6 wickets
RR,DC,RR,3 wickets
SRH,RCB,RCB,6 runs
KKR,MI,MI,10 runs
RR,Punjab Kings,Punjab Kings,4 runs
SRH,KKR,KKR,10 runs
CSK,DC,DC,7 wickets
MI,RCB,RCB,2 wickets
